# 日経225 構成銘柄スナップショット (code,name)
# 定期入れ替えがあるため、`python nikkei_daytrade.py --update-list` で日経公式から更新してください。
1332,ニッスイ
1605,INPEX
1721,コムシスホールディングス
1801,大成建設
1802,大林組
1803,清水建設
1808,長谷工コーポレーション
1812,鹿島建設
1925,大和ハウス工業
1928,積水ハウス
1963,日揮ホールディングス
2002,日清製粉グループ本社
2269,明治ホールディングス
2282,日本ハム
2413,エムスリー
2432,ディー・エヌ・エー
2501,サッポロホールディングス
2502,アサヒグループホールディングス
2503,キリンホールディングス
2531,宝ホールディングス
2768,双日
2801,キッコーマン
2802,味の素
2871,ニチレイ
2914,日本たばこ産業
3086,J.フロント リテイリング
3092,ZOZO
3099,三越伊勢丹ホールディングス
3101,東洋紡
3103,ユニチカ
3105,日清紡ホールディングス
3289,東急不動産ホールディングス
3382,セブン&アイ・ホールディングス
3401,帝人
3402,東レ
3405,クラレ
3407,旭化成
3436,SUMCO
3659,ネクソン
3861,王子ホールディングス
3863,日本製紙
4004,レゾナック・ホールディングス
4005,住友化学
4021,日産化学
4042,東ソー
4043,トクヤマ
4061,デンカ
4063,信越化学工業
4151,協和キリン
4183,三井化学
4188,三菱ケミカルグループ
4208,UBE
4307,野村総合研究所
4324,電通グループ
4385,メルカリ
4452,花王
4502,武田薬品工業
4503,アステラス製薬
4506,住友ファーマ
4507,塩野義製薬
4519,中外製薬
4523,エーザイ
4543,テルモ
4568,第一三共
4578,大塚ホールディングス
4661,オリエンタルランド
4689,LINEヤフー
4704,トレンドマイクロ
4751,サイバーエージェント
4755,楽天グループ
4901,富士フイルムホールディングス
4902,コニカミノルタ
4911,資生堂
5019,出光興産
5020,ENEOSホールディングス
5101,横浜ゴム
5108,ブリヂストン
5201,AGC
5202,日本板硝子
5214,日本電気硝子
5232,住友大阪セメント
5233,太平洋セメント
5301,東海カーボン
5333,日本ガイシ
5334,日本特殊陶業
5401,日本製鉄
5406,神戸製鋼所
5411,JFEホールディングス
5631,日本製鋼所
5706,三井金属鉱業
5711,三菱マテリアル
5713,住友金属鉱山
5714,DOWAホールディングス
5801,古河電気工業
5802,住友電気工業
5803,フジクラ
5831,しずおかフィナンシャルグループ
6098,リクルートホールディングス
6103,オークマ
6113,アマダ
6146,ディスコ
6178,日本郵政
6273,SMC
6301,小松製作所
6302,住友重機械工業
6305,日立建機
6326,クボタ
6361,荏原製作所
6367,ダイキン工業
6471,日本精工
6472,NTN
6473,ジェイテクト
6479,ミネベアミツミ
6501,日立製作所
6503,三菱電機
6504,富士電機
6506,安川電機
6526,ソシオネクスト
6532,ベイカレント
6594,ニデック
6645,オムロン
6674,GSユアサ コーポレーション
6701,日本電気
6702,富士通
6723,ルネサスエレクトロニクス
6724,セイコーエプソン
6752,パナソニック ホールディングス
6753,シャープ
6758,ソニーグループ
6762,TDK
6770,アルプスアルパイン
6800,ヨコオ
6841,横河電機
6857,アドバンテスト
6861,キーエンス
6902,デンソー
6920,レーザーテック
6952,カシオ計算機
6954,ファナック
6963,ローム
6971,京セラ
6976,太陽誘電
6981,村田製作所
6988,日東電工
7003,三井E&S
7004,カナデビア
7011,三菱重工業
7012,川崎重工業
7013,IHI
7186,コンコルディア・フィナンシャルグループ
7201,日産自動車
7202,いすゞ自動車
7203,トヨタ自動車
7205,日野自動車
7211,三菱自動車工業
7261,マツダ
7267,本田技研工業
7269,スズキ
7270,SUBARU
7272,ヤマハ発動機
7453,良品計画
7532,パン・パシフィック・インターナショナルホールディングス
7735,SCREENホールディングス
7741,HOYA
7751,キヤノン
7752,リコー
7762,シチズン時計
7832,バンダイナムコホールディングス
7911,TOPPANホールディングス
7912,大日本印刷
7951,ヤマハ
7974,任天堂
8001,伊藤忠商事
8002,丸紅
8015,豊田通商
8031,三井物産
8035,東京エレクトロン
8053,住友商事
8058,三菱商事
8113,ユニ・チャーム
8233,高島屋
8252,丸井グループ
8253,クレディセゾン
8267,イオン
8304,あおぞら銀行
8306,三菱UFJフィナンシャル・グループ
8308,りそなホールディングス
8309,三井住友トラストグループ
8316,三井住友フィナンシャルグループ
8331,千葉銀行
8354,ふくおかフィナンシャルグループ
8411,みずほフィナンシャルグループ
8591,オリックス
8601,大和証券グループ本社
8604,野村ホールディングス
8630,SOMPOホールディングス
8697,日本取引所グループ
8725,MS&ADインシュアランスグループホールディングス
8750,第一生命ホールディングス
8766,東京海上ホールディングス
8795,T&Dホールディングス
8801,三井不動産
8802,三菱地所
8804,東京建物
8830,住友不動産
9001,東武鉄道
9005,東急
9007,小田急電鉄
9008,京王電鉄
9009,京成電鉄
9020,東日本旅客鉄道
9021,西日本旅客鉄道
9022,東海旅客鉄道
9042,阪急阪神ホールディングス
9064,ヤマトホールディングス
9101,日本郵船
9104,商船三井
9107,川崎汽船
9147,NIPPON EXPRESSホールディングス
9201,日本航空
9202,ANAホールディングス
9301,三菱倉庫
9432,日本電信電話
9433,KDDI
9434,ソフトバンク
9501,東京電力ホールディングス
9502,中部電力
9503,関西電力
9531,東京ガス
9532,大阪ガス
9602,東宝
9613,NTTデータグループ
9735,セコム
9766,コナミグループ
9843,ニトリホールディングス
9983,ファーストリテイリング
9984,ソフトバンクグループ
